TestMethod,Column,TrendMethod,Trend,Lags,NullHypothesis,PValue,TestStatistic
Adf,Precipitation,c,Include a constant,0,The process contains a unit root.,2.4842757038791176e-08,-6.360278661829819
Adf,Precipitation,c,Include a constant,1,The process contains a unit root.,2.4350858269898146e-06,-5.467929768534835
Adf,Precipitation,c,Include a constant,2,The process contains a unit root.,2.548129154589994e-05,-4.969606733007522
Adf,Precipitation,c,Include a constant,3,The process contains a unit root.,0.003734148284104683,-3.7281523121295717
Adf,Precipitation,c,Include a constant,4,The process contains a unit root.,0.008169230853459702,-3.492979719189302
Adf,Precipitation,c,Include a constant,5,The process contains a unit root.,0.033912000138076936,-3.0106469625817587
Adf,Precipitation,c,Include a constant,6,The process contains a unit root.,0.2173066962062088,-2.1700176098671613
Adf,Precipitation,c,Include a constant,7,The process contains a unit root.,0.14216031260504786,-2.3984996735040247
Adf,Precipitation,c,Include a constant,8,The process contains a unit root.,0.24746517116717287,-2.0926874300329303
Adf,Precipitation,c,Include a constant,9,The process contains a unit root.,0.1055080067798777,-2.542346049066101
Adf,Precipitation,c,Include a constant,10,The process contains a unit root.,0.08338530018160906,-2.6484813861888563
Adf,Precipitation,c,Include a constant,11,The process contains a unit root.,0.06815689527230405,-2.7351122066096725
Adf,Precipitation,c,Include a constant,12,The process contains a unit root.,0.1284710738301615,-2.448658302120848
Adf,Precipitation,c,Include a constant,13,The process contains a unit root.,0.4822134627032382,-1.6027469189895296
Adf,Precipitation,c,Include a constant,14,The process contains a unit root.,0.49702451007817827,-1.5732319366625835
Adf,Precipitation,c,Include a constant,15,The process contains a unit root.,0.27796977742394213,-2.0197762610482997
Adf,Precipitation,c,Include a constant,16,The process contains a unit root.,0.5532792837898773,-1.4598337018745147
Adf,Precipitation,c,Include a constant,17,The process contains a unit root.,0.6162942233706366,-1.3279412202703582
Adf,Precipitation,c,Include a constant,18,The process contains a unit root.,0.6384686951082237,-1.2795650770439035
Adf,Precipitation,c,Include a constant,19,The process contains a unit root.,0.5500066046664752,-1.4665139931011741
Adf,Precipitation,c,Include a constant,20,The process contains a unit root.,0.7336554681197827,-1.0524547253987593
Adf,Precipitation,c,Include a constant,21,The process contains a unit root.,0.7659353473918651,-0.964657908393008
Adf,Precipitation,c,Include a constant,22,The process contains a unit root.,0.7109049780238937,-1.1104043693833012
Adf,Precipitation,c,Include a constant,23,The process contains a unit root.,0.7379515129954588,-1.0411766071140443
Adf,Precipitation,c,Include a constant,24,The process contains a unit root.,0.7136351816895669,-1.1035973793942144
Adf,Precipitation,nc,No trend components,0,The process contains a unit root.,0.38607406978991443,-0.7629931976567179
Adf,Precipitation,nc,No trend components,1,The process contains a unit root.,0.5008930261466409,-0.4883823797128183
Adf,Precipitation,nc,No trend components,2,The process contains a unit root.,0.5750123743443802,-0.30272315862078697
Adf,Precipitation,nc,No trend components,3,The process contains a unit root.,0.6232413140730836,-0.17463633598112316
Adf,Precipitation,nc,No trend components,4,The process contains a unit root.,0.555347856676207,-0.35308356554814485
Adf,Precipitation,nc,No trend components,5,The process contains a unit root.,0.48198472478360965,-0.5342748202538731
Adf,Precipitation,nc,No trend components,6,The process contains a unit root.,0.5108046214516684,-0.46413432518366715
Adf,Precipitation,nc,No trend components,7,The process contains a unit root.,0.5222360166117764,-0.4359800784955161
Adf,Precipitation,nc,No trend components,8,The process contains a unit root.,0.5600063047600063,-0.3412370129877851
Adf,Precipitation,nc,No trend components,9,The process contains a unit root.,0.5649435733896269,-0.32862614877038654
Adf,Precipitation,nc,No trend components,10,The process contains a unit root.,0.6816250375641297,-0.007960652942234749
Adf,Precipitation,nc,No trend components,11,The process contains a unit root.,0.7499282556150387,0.2109606048114778
Adf,Precipitation,nc,No trend components,12,The process contains a unit root.,0.7859417100549453,0.3415745355167797
Adf,Precipitation,nc,No trend components,13,The process contains a unit root.,0.735582865546345,0.1622407608139591
Adf,Precipitation,nc,No trend components,14,The process contains a unit root.,0.7779163425327005,0.3113190365759456
Adf,Precipitation,nc,No trend components,15,The process contains a unit root.,0.8324792771619287,0.5335923534948557
Adf,Precipitation,nc,No trend components,16,The process contains a unit root.,0.7871341002481838,0.34613204087531335
Adf,Precipitation,nc,No trend components,17,The process contains a unit root.,0.8112661589721202,0.44218821131427255
Adf,Precipitation,nc,No trend components,18,The process contains a unit root.,0.814087721706978,0.45393723004517084
Adf,Precipitation,nc,No trend components,19,The process contains a unit root.,0.8360949585644774,0.5499341944785661
Adf,Precipitation,nc,No trend components,20,The process contains a unit root.,0.8122948777072114,0.4464582361026183
Adf,Precipitation,nc,No trend components,21,The process contains a unit root.,0.758964946436582,0.2425501926644645
Adf,Precipitation,nc,No trend components,22,The process contains a unit root.,0.7163419345615976,0.09936967376585286
Adf,Precipitation,nc,No trend components,23,The process contains a unit root.,0.7151161700545324,0.09545266244911792
Adf,Precipitation,nc,No trend components,24,The process contains a unit root.,0.6204758000639143,-0.18218450041930614
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,0,The process contains a unit root.,2.7000565551396777e-06,-6.319131143544249
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,1,The process contains a unit root.,0.00016342857885881992,-5.442493575335152
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,2,The process contains a unit root.,0.001268068234005561,-4.94607927122625
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,3,The process contains a unit root.,0.07016920865172478,-3.7009954376430434
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,4,The process contains a unit root.,0.0948077131683403,-3.5763853014184517
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,5,The process contains a unit root.,0.16990446972648204,-3.3069450354258745
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,6,The process contains a unit root.,0.5478114708033278,-2.5375363975191036
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,7,The process contains a unit root.,0.2853858154101908,-3.020750114144923
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,8,The process contains a unit root.,0.3446466799629353,-2.900544559803422
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,9,The process contains a unit root.,0.03069310531155511,-4.009133767533926
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,10,The process contains a unit root.,0.035647056157747346,-3.9564354675639417
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,11,The process contains a unit root.,0.06939146466687285,-3.7054607874980645
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,12,The process contains a unit root.,0.22151456289020138,-3.168291755728301
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,13,The process contains a unit root.,0.3794318181424214,-2.834684182937015
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,14,The process contains a unit root.,0.5627896902054449,-2.5114720011966187
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,15,The process contains a unit root.,0.7801110199919492,-2.0901562081056966
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,16,The process contains a unit root.,0.9310059088103843,-1.5877916837870174
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,17,The process contains a unit root.,0.9863311225579994,-1.017757736716552
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,18,The process contains a unit root.,0.9961077881021575,-0.5814231999256202
