TestMethod,Column,TrendMethod,Trend,Lags,NullHypothesis,PValue,TestStatistic
Adf,Precipitation,c,Include a constant,0,The process contains a unit root.,6.88673694336301e-10,-7.011918192446734
Adf,Precipitation,c,Include a constant,1,The process contains a unit root.,0.000304156464572139,-4.394014861691323
Adf,Precipitation,c,Include a constant,2,The process contains a unit root.,0.0034775251387734285,-3.7487408760040832
Adf,Precipitation,c,Include a constant,3,The process contains a unit root.,0.037347054102776875,-2.9744830723908544
Adf,Precipitation,c,Include a constant,4,The process contains a unit root.,0.05683195187466529,-2.8101966101414386
Adf,Precipitation,c,Include a constant,5,The process contains a unit root.,0.2585964620571687,-2.065536274569074
Adf,Precipitation,c,Include a constant,6,The process contains a unit root.,0.5310762627571801,-1.5049196641036593
Adf,Precipitation,c,Include a constant,7,The process contains a unit root.,0.7411172524589826,-1.0327916414267648
Adf,Precipitation,c,Include a constant,8,The process contains a unit root.,0.7828866194414383,-0.9153165527067728
Adf,Precipitation,c,Include a constant,9,The process contains a unit root.,0.7348653172946482,-1.0492901035551347
Adf,Precipitation,c,Include a constant,10,The process contains a unit root.,0.8165302841211681,-0.8087770022773221
Adf,Precipitation,c,Include a constant,11,The process contains a unit root.,0.8097257200194863,-0.8313947953327971
Adf,Precipitation,c,Include a constant,12,The process contains a unit root.,0.785132026798163,-0.9085852451120163
Adf,Precipitation,c,Include a constant,13,The process contains a unit root.,0.7244208833969036,-1.0763235061780234
Adf,Precipitation,c,Include a constant,14,The process contains a unit root.,0.7868868330019441,-0.9032906344028551
Adf,Precipitation,c,Include a constant,15,The process contains a unit root.,0.8068481997806745,-0.8407821855293681
Adf,Precipitation,c,Include a constant,16,The process contains a unit root.,0.8581920106704106,-0.6544744709991438
Adf,Precipitation,c,Include a constant,17,The process contains a unit root.,0.8047250721903659,-0.847643817115935
Adf,Precipitation,c,Include a constant,18,The process contains a unit root.,0.7695341066746663,-0.9543899655828373
Adf,Precipitation,c,Include a constant,19,The process contains a unit root.,0.6991240501852735,-1.1393579167694852
Adf,Precipitation,c,Include a constant,20,The process contains a unit root.,0.6351366647275779,-1.2869162956864009
Adf,Precipitation,c,Include a constant,21,The process contains a unit root.,0.7265993622359159,-1.0707373266486642
Adf,Precipitation,c,Include a constant,22,The process contains a unit root.,0.7487316590638026,-1.0123544831172875
Adf,Precipitation,c,Include a constant,23,The process contains a unit root.,0.46231441969897413,-1.6398973715241016
Adf,Precipitation,c,Include a constant,24,The process contains a unit root.,0.833170345777988,-0.7507225185235512
Adf,Precipitation,nc,No trend components,0,The process contains a unit root.,0.49672363219478005,-0.49854101800694495
Adf,Precipitation,nc,No trend components,1,The process contains a unit root.,0.5901913024430976,-0.26316882992764223
Adf,Precipitation,nc,No trend components,2,The process contains a unit root.,0.679824056380876,-0.013340111143840174
Adf,Precipitation,nc,No trend components,3,The process contains a unit root.,0.6905455037357658,0.01894253862791284
Adf,Precipitation,nc,No trend components,4,The process contains a unit root.,0.7509905312697405,0.21463653672229616
Adf,Precipitation,nc,No trend components,5,The process contains a unit root.,0.8024918295926754,0.40637764386478337
Adf,Precipitation,nc,No trend components,6,The process contains a unit root.,0.7350686250479088,0.1605249060020082
Adf,Precipitation,nc,No trend components,7,The process contains a unit root.,0.8489276296428538,0.6099833303039846
Adf,Precipitation,nc,No trend components,8,The process contains a unit root.,0.9058857853914102,0.9299947944014844
Adf,Precipitation,nc,No trend components,9,The process contains a unit root.,0.914218560697907,0.9875375166452143
Adf,Precipitation,nc,No trend components,10,The process contains a unit root.,0.9028121480614184,0.9096802517899177
