TestMethod,Column,TrendMethod,Trend,Lags,NullHypothesis,PValue,TestStatistic
Adf,Precipitation,c,Include a constant,0,The process contains a unit root.,2.1892703757144786e-08,-6.383801789381942
Adf,Precipitation,c,Include a constant,1,The process contains a unit root.,0.002891856375400674,-3.8015146233665815
Adf,Precipitation,c,Include a constant,2,The process contains a unit root.,0.008907537084893898,-3.4658908683628553
Adf,Precipitation,c,Include a constant,3,The process contains a unit root.,0.01632400642757296,-3.268965534898025
Adf,Precipitation,c,Include a constant,4,The process contains a unit root.,0.03256997775081506,-3.0256213957823173
Adf,Precipitation,c,Include a constant,5,The process contains a unit root.,0.014904384733472682,-3.2994207972047374
Adf,Precipitation,c,Include a constant,6,The process contains a unit root.,0.02566522684653311,-3.112174709870959
Adf,Precipitation,c,Include a constant,7,The process contains a unit root.,0.05461346753607055,-2.826304624989091
Adf,Precipitation,c,Include a constant,8,The process contains a unit root.,0.1269649144049515,-2.454408193416703
Adf,Precipitation,c,Include a constant,9,The process contains a unit root.,0.39348562940351156,-1.7739175154545677
Adf,Precipitation,c,Include a constant,10,The process contains a unit root.,0.6493544409220551,-1.2553273273364232
Adf,Precipitation,c,Include a constant,11,The process contains a unit root.,0.5995624718100034,-1.3636732481853133
Adf,Precipitation,c,Include a constant,12,The process contains a unit root.,0.7107358293504304,-1.1108248538788559
Adf,Precipitation,c,Include a constant,13,The process contains a unit root.,0.671505725439118,-1.20485038643685
Adf,Precipitation,c,Include a constant,14,The process contains a unit root.,0.6190513790377362,-1.3219930368643205
Adf,Precipitation,c,Include a constant,15,The process contains a unit root.,0.6169169389136943,-1.3265993581671343
Adf,Precipitation,c,Include a constant,16,The process contains a unit root.,0.6170563757256861,-1.3262987678773965
Adf,Precipitation,c,Include a constant,17,The process contains a unit root.,0.5412725740618933,-1.4842808060040271
Adf,Precipitation,c,Include a constant,18,The process contains a unit root.,0.7263696247592839,-1.0713277042175524
Adf,Precipitation,c,Include a constant,19,The process contains a unit root.,0.9217906526907336,-0.3256600832450812
Adf,Precipitation,c,Include a constant,20,The process contains a unit root.,0.9290199895365734,-0.27464053841130814
Adf,Precipitation,c,Include a constant,21,The process contains a unit root.,0.9785380620226911,0.3267279848391801
Adf,Precipitation,c,Include a constant,22,The process contains a unit root.,0.9793865515684615,0.3466537508647384
Adf,Precipitation,c,Include a constant,23,The process contains a unit root.,0.9849244577118229,0.501692827325346
Adf,Precipitation,c,Include a constant,24,The process contains a unit root.,0.9867152634662979,0.5648062557130508
Adf,Precipitation,nc,No trend components,0,The process contains a unit root.,0.37100077411573346,-0.7988518395635485
Adf,Precipitation,nc,No trend components,1,The process contains a unit root.,0.4998161351355935,-0.4910084649342056
Adf,Precipitation,nc,No trend components,2,The process contains a unit root.,0.5140567735359226,-0.4561460332502088
Adf,Precipitation,nc,No trend components,3,The process contains a unit root.,0.517278489140525,-0.4482159915058801
Adf,Precipitation,nc,No trend components,4,The process contains a unit root.,0.5880619984011978,-0.2687561782385989
Adf,Precipitation,nc,No trend components,5,The process contains a unit root.,0.5967514168072638,-0.24587153908350584
Adf,Precipitation,nc,No trend components,6,The process contains a unit root.,0.5085304553109629,-0.4697107105177366
Adf,Precipitation,nc,No trend components,7,The process contains a unit root.,0.5665608875481882,-0.3244824589563366
Adf,Precipitation,nc,No trend components,8,The process contains a unit root.,0.5538362513730789,-0.3569170383966647
