TestMethod,Column,TrendMethod,Trend,Lags,NullHypothesis,PValue,TestStatistic
Adf,Precipitation,c,Include a constant,0,The process contains a unit root.,4.947564156862481e-09,-6.657283232461473
Adf,Precipitation,c,Include a constant,1,The process contains a unit root.,6.258172165811886e-06,-5.27193807718849
Adf,Precipitation,c,Include a constant,2,The process contains a unit root.,8.03746060985739e-05,-4.710609396677142
Adf,Precipitation,c,Include a constant,3,The process contains a unit root.,0.004282674474281178,-3.6881693139094955
Adf,Precipitation,c,Include a constant,4,The process contains a unit root.,0.04393370298285534,-2.9123225495539877
Adf,Precipitation,c,Include a constant,5,The process contains a unit root.,0.08113237388921968,-2.6604680121515325
Adf,Precipitation,c,Include a constant,6,The process contains a unit root.,0.10225049105278683,-2.556836106837204
Adf,Precipitation,c,Include a constant,7,The process contains a unit root.,0.18833444388714227,-2.2507781432667735
Adf,Precipitation,c,Include a constant,8,The process contains a unit root.,0.1361626766937547,-2.4200301146683345
Adf,Precipitation,c,Include a constant,9,The process contains a unit root.,0.1928972513004859,-2.237558591320091
Adf,Precipitation,c,Include a constant,10,The process contains a unit root.,0.33553110719487744,-1.8926405545009413
Adf,Precipitation,c,Include a constant,11,The process contains a unit root.,0.6134121899246572,-1.3341399145611303
Adf,Precipitation,c,Include a constant,12,The process contains a unit root.,0.589073722245081,-1.3857807107299516
Adf,Precipitation,c,Include a constant,13,The process contains a unit root.,0.5971141639789622,-1.3688526094840687
Adf,Precipitation,c,Include a constant,14,The process contains a unit root.,0.6428199795283328,-1.2699181986202353
Adf,Precipitation,c,Include a constant,15,The process contains a unit root.,0.6261348086105389,-1.3066274726316442
Adf,Precipitation,c,Include a constant,16,The process contains a unit root.,0.741678597999941,-1.0312981070621505
Adf,Precipitation,c,Include a constant,17,The process contains a unit root.,0.7109940410935287,-1.1101829109326764
Adf,Precipitation,c,Include a constant,18,The process contains a unit root.,0.6671873965836286,-1.2148219706985242
Adf,Precipitation,c,Include a constant,19,The process contains a unit root.,0.2537485155551038,-2.0772787633173517
Adf,Precipitation,c,Include a constant,20,The process contains a unit root.,0.439131365241144,-1.6844697550390009
Adf,Precipitation,c,Include a constant,21,The process contains a unit root.,0.49472511625886834,-1.5778196348187472
Adf,Precipitation,c,Include a constant,22,The process contains a unit root.,0.1291324804475661,-2.4461487471451093
Adf,Precipitation,c,Include a constant,23,The process contains a unit root.,0.28143626493799556,-2.011770147854386
Adf,Precipitation,c,Include a constant,24,The process contains a unit root.,0.5828012624623312,-1.3989043741600233
Adf,Precipitation,nc,No trend components,0,The process contains a unit root.,0.3916800572217467,-0.7496773687183331
Adf,Precipitation,nc,No trend components,1,The process contains a unit root.,0.4675918928232566,-0.568936839632024
Adf,Precipitation,nc,No trend components,2,The process contains a unit root.,0.5143667301452106,-0.45538381802334565
Adf,Precipitation,nc,No trend components,3,The process contains a unit root.,0.5277526008313956,-0.42231485915901745
Adf,Precipitation,nc,No trend components,4,The process contains a unit root.,0.5393016263104592,-0.3935264507845779
Adf,Precipitation,nc,No trend components,5,The process contains a unit root.,0.45920050235038307,-0.5890568027226173
Adf,Precipitation,nc,No trend components,6,The process contains a unit root.,0.5522258078268527,-0.3609955777031095
Adf,Precipitation,nc,No trend components,7,The process contains a unit root.,0.5864123476699722,-0.27307600022297124
Adf,Precipitation,nc,No trend components,8,The process contains a unit root.,0.5853915547022215,-0.27574522715746
Adf,Precipitation,nc,No trend components,9,The process contains a unit root.,0.5381094940305458,-0.39650990060413727
Adf,Precipitation,nc,No trend components,10,The process contains a unit root.,0.5748439180593687,-0.3031586468913415
Adf,Precipitation,nc,No trend components,11,The process contains a unit root.,0.6171484280086006,-0.19123024016768964
Adf,Precipitation,nc,No trend components,12,The process contains a unit root.,0.6270431475995959,-0.16421439661493933
Adf,Precipitation,nc,No trend components,13,The process contains a unit root.,0.6146960196563209,-0.19787264981417843
Adf,Precipitation,nc,No trend components,14,The process contains a unit root.,0.6205419597425221,-0.18200424398974316
Adf,Precipitation,nc,No trend components,15,The process contains a unit root.,0.6880508878629342,0.011374974321570697
Adf,Precipitation,nc,No trend components,16,The process contains a unit root.,0.7493970343165718,0.20912600284147373
Adf,Precipitation,nc,No trend components,17,The process contains a unit root.,0.7562610955594239,0.23302155900661975
Adf,Precipitation,nc,No trend components,18,The process contains a unit root.,0.8601084887129082,0.6652032286235914
Adf,Precipitation,nc,No trend components,19,The process contains a unit root.,0.8734594430665414,0.7352647290599224
Adf,Precipitation,nc,No trend components,20,The process contains a unit root.,0.8793213115845577,0.7676462784419428
Adf,Precipitation,nc,No trend components,21,The process contains a unit root.,0.8796645876535507,0.7695760975566596
Adf,Precipitation,nc,No trend components,22,The process contains a unit root.,0.8219228234099318,0.4871968474422674
Adf,Precipitation,nc,No trend components,23,The process contains a unit root.,0.8162987944733651,0.46322711612819845
Adf,Precipitation,nc,No trend components,24,The process contains a unit root.,0.7177956763990426,0.10402833152451299
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,0,The process contains a unit root.,4.2126208556237407e-07,-6.684776415240081
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,1,The process contains a unit root.,0.00016449135933057642,-5.4410023880423815
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,2,The process contains a unit root.,0.0010928311197741624,-4.984072386669097
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,3,The process contains a unit root.,0.045726993831936326,-3.8659685656352605
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,4,The process contains a unit root.,0.29216612084318505,-3.0063462132413012
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,5,The process contains a unit root.,0.6530953993962376,-2.3499752795928748
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,6,The process contains a unit root.,0.46962756305235615,-2.6731773077094685
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,7,The process contains a unit root.,0.5212599056977063,-2.5835609457886854
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,8,The process contains a unit root.,0.2266802172495878,-3.155388045245684
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,9,The process contains a unit root.,0.5471689934926901,-2.5386522321518235
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,10,The process contains a unit root.,0.7466867385929516,-2.1647548520305153
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,11,The process contains a unit root.,0.98135428915176,-1.123015565743128
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,12,The process contains a unit root.,0.9878674871141049,-0.9773887630067012
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,13,The process contains a unit root.,0.9971353618594697,-0.4660543440984273
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,14,The process contains a unit root.,0.9992632756221601,0.2689931969092706
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,15,The process contains a unit root.,0.9991792131110184,0.16628282030791228
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,16,The process contains a unit root.,1.0,0.7249029477865129
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,17,The process contains a unit root.,1.0,1.2967018714552117
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,18,The process contains a unit root.,1.0,0.6698201629720941
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,19,The process contains a unit root.,0.9981662820643215,-0.2834543420714479
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,20,The process contains a unit root.,0.9981218464623403,-0.29387429656723624
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,21,The process contains a unit root.,0.9972272805783285,-0.4533866261111794
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,22,The process contains a unit root.,0.9821445948047972,-1.1082999070013313
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,23,The process contains a unit root.,0.9603501651518014,-1.3843386646958062
Adf,Precipitation,ctt,Include a constant and linear and quadratic time trends,24,The process contains a unit root.,0.9967993942545967,-0.5085148426690365
Adf,Precipitation,ct,Include a constant and linear time trend,0,The process contains a unit root.,1.143157147103505e-07,-6.594364558802174
Adf,Precipitation,ct,Include a constant and linear time trend,1,The process contains a unit root.,8.200400505223766e-05,-5.215124917486706
Adf,Precipitation,ct,Include a constant and linear time trend,2,The process contains a unit root.,0.0007719907968649027,-4.674379220812481
Adf,Precipitation,ct,Include a constant and linear time trend,3,The process contains a unit root.,0.023294824758898405,-3.686015814712651
Adf,Precipitation,ct,Include a constant and linear time trend,4,The process contains a unit root.,0.1534754897923662,-2.9275481851912626
Adf,Precipitation,ct,Include a constant and linear time trend,5,The process contains a unit root.,0.20767780731389063,-2.771319447859249
Adf,Precipitation,ct,Include a constant and linear time trend,6,The process contains a unit root.,0.2751421171828518,-2.6103706424366884
Adf,Precipitation,ct,Include a constant and linear time trend,7,The process contains a unit root.,0.4446972316472944,-2.280620830620314
Adf,Precipitation,ct,Include a constant and linear time trend,8,The process contains a unit root.,0.3543437766301304,-2.44816392665959
Adf,Precipitation,ct,Include a constant and linear time trend,9,The process contains a unit root.,0.36372110755784004,-2.4301419531660104
Adf,Precipitation,ct,Include a constant and linear time trend,10,The process contains a unit root.,0.5247308060574412,-2.138056710370895
Adf,Precipitation,ct,Include a constant and linear time trend,11,The process contains a unit root.,0.7033954683317971,-1.8028230859889431
Adf,Precipitation,ct,Include a constant and linear time trend,12,The process contains a unit root.,0.6847692065176078,-1.8407825886002622
Adf,Precipitation,ct,Include a constant and linear time trend,13,The process contains a unit root.,0.5852790633713585,-2.029495363955457
Adf,Precipitation,ct,Include a constant and linear time trend,14,The process contains a unit root.,0.4464768736414839,-2.2774210560375834
Adf,Precipitation,ct,Include a constant and linear time trend,15,The process contains a unit root.,0.4732259447581132,-2.229574108018864
Adf,Precipitation,ct,Include a constant and linear time trend,16,The process contains a unit root.,0.656357695908177,-1.8967382547748912
Adf,Precipitation,ct,Include a constant and linear time trend,17,The process contains a unit root.,0.5844635538495875,-2.0309764459679225
Adf,Precipitation,ct,Include a constant and linear time trend,18,The process contains a unit root.,0.8128564944557505,-1.546018548565702
Adf,Precipitation,ct,Include a constant and linear time trend,19,The process contains a unit root.,0.6171775939215225,-1.9709266073785139
Adf,Precipitation,ct,Include a constant and linear time trend,20,The process contains a unit root.,0.8078376605363699,-1.5596411453634493
Adf,Precipitation,ct,Include a constant and linear time trend,21,The process contains a unit root.,0.8708042237764045,-1.36533380264198
Adf,Precipitation,ct,Include a constant and linear time trend,22,The process contains a unit root.,0.500929825358629,-2.180324177702012
Adf,Precipitation,ct,Include a constant and linear time trend,23,The process contains a unit root.,0.6849375558651447,-1.840444410948209
Adf,Precipitation,ct,Include a constant and linear time trend,24,The process contains a unit root.,0.887505719678314,-1.3017089316410824
Adf,Radiation,c,Include a constant,0,The process contains a unit root.,0.042242883299739804,-2.927494746316233
Adf,Radiation,c,Include a constant,1,The process contains a unit root.,0.090195799386178,-2.6137142950863717
Adf,Radiation,c,Include a constant,2,The process contains a unit root.,0.3415833984345674,-1.8798824769946085
Adf,Radiation,c,Include a constant,3,The process contains a unit root.,0.40794155961679424,-1.7452900834938974
Adf,Radiation,c,Include a constant,4,The process contains a unit root.,0.441926975169603,-1.679070471561795
Adf,Radiation,c,Include a constant,5,The process contains a unit root.,0.4137865666846211,-1.7338012242908227
Adf,Radiation,c,Include a constant,6,The process contains a unit root.,0.40792980240476767,-1.7453132407843526
Adf,Radiation,c,Include a constant,7,The process contains a unit root.,0.3026784003001852,-1.9637758584755833
Adf,Radiation,c,Include a constant,8,The process contains a unit root.,0.4760957489408451,-1.6135816622406822
Adf,Radiation,c,Include a constant,9,The process contains a unit root.,0.6936764915085458,-1.1525283190551159
Adf,Radiation,c,Include a constant,10,The process contains a unit root.,0.8207030389225183,-0.7946003212684635
Adf,Radiation,c,Include a constant,11,The process contains a unit root.,0.8070777645325039,-0.8400370071317368
Adf,Radiation,c,Include a constant,12,The process contains a unit root.,0.7688219648751577,-0.9564303181757726
Adf,Radiation,c,Include a constant,13,The process contains a unit root.,0.8214087007188592,-0.7921787872648929
Adf,Radiation,c,Include a constant,14,The process contains a unit root.,0.8713363675498353,-0.5984300909463658
Adf,Radiation,c,Include a constant,15,The process contains a unit root.,0.8762856506545541,-0.5761268618362922
Adf,Radiation,c,Include a constant,16,The process contains a unit root.,0.862423561478765,-0.6369030293446963
Adf,Radiation,c,Include a constant,17,The process contains a unit root.,0.9162561496093649,-0.3619780561336733
Adf,Radiation,c,Include a constant,18,The process contains a unit root.,0.8369002720738976,-0.7371151491724116
Adf,Radiation,c,Include a constant,19,The process contains a unit root.,0.8721603149082866,-0.5947660042112489
Adf,Radiation,c,Include a constant,20,The process contains a unit root.,0.9600098175413846,0.018177921417258602
Adf,Radiation,c,Include a constant,21,The process contains a unit root.,0.979752548770596,0.3555055864020214
Adf,Radiation,c,Include a constant,22,The process contains a unit root.,0.9685823543528249,0.13832450753993875
Adf,Radiation,c,Include a constant,23,The process contains a unit root.,0.9871035983299671,0.579667542324426
Adf,Radiation,c,Include a constant,24,The process contains a unit root.,0.9949319100657096,1.067766172278066
Adf,Radiation,nc,No trend components,0,The process contains a unit root.,0.5522835804574923,-0.36084936419776686
Adf,Radiation,nc,No trend components,1,The process contains a unit root.,0.44279639786328556,-0.6282377352323747
Adf,Radiation,nc,No trend components,2,The process contains a unit root.,0.2867880038303774,-1.0032900096733328
Adf,Radiation,nc,No trend components,3,The process contains a unit root.,0.22817527400764792,-1.1489472647930696
Adf,Radiation,nc,No trend components,4,The process contains a unit root.,0.1615659068062416,-1.35925106165728
Adf,Radiation,nc,No trend components,5,The process contains a unit root.,0.1408730585264955,-1.4362920007511235
